"","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"11786",6,343,9,0,2001,69,1,64,0,0,2915,1,4,0,0,0,0,1,0,0,0,6,0,0,0,1,180,10,1,130,4,1,1,1,4,1,1,1,1,5,1,1,17,16,0
"11787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11788",6,147,9,0,2001,41,1,41,3,6,2915,1,1,65,828,0,5,1,62,829,5,14,15,180000,240000,4,160,10,1,100,1,1,9,9,0,99,1,1,1,5,0,1,17,99,115622.874773275
"11789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11791",6,2403,12,0,2001,70,2,0,0,0,2916,5,1,964,937,0,5,3,0,0,0,0,8,26000,0,4,165,1,0,0,0,0,0,0,0,0,1,3,5,0,8,2,11,0,16701.0819116953
"11792",6,5498,16,5,2001,28,1,25,2,5,2916,1,1,600,917,0,5,1,0,0,0,40,20,16000,2000,2,170,7,3,130,5,1,1,5,0,8,1,1,1,1,8,8,13,12,10277.5888687356
"11793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11794",6,3307,12,1,2001,23,2,0,0,0,2916,4,3,0,0,0,0,3,0,0,0,0,5,8000,0,4,165,3,0,0,0,0,0,0,0,0,1,2,5,0,0,2,10,0,5138.79443436779
"11795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
