"","ID","Release_number","interview_id","State","Family_comp_change","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","family_identifier","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"20741",20741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20742",20742,6,6609,23,0,2001,33,2,0,2,6,6590,2,1,142,857,0,5,3,0,0,0,0,5,26000,0,1,125,8,0,0,0,0,0,0,0,0,2,1,1,4,8,2,16,0
"20743",20743,6,6830,23,0,2001,26,2,0,2,2,6590,2,3,0,0,0,0,3,0,0,0,0,4,4000,0,3,250,7,0,0,0,0,0,0,0,0,2,1,5,0,8,2,12,0
"20744",20744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20745",20745,6,7144,23,5,2001,23,2,0,2,2,6590,2,3,0,0,0,0,3,0,0,0,0,9,15000,0,1,220,7,0,0,0,0,0,0,0,0,2,3,5,0,8,8,9,0
"20746",20746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20747",20747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20748",20748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20749",20749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20750",20750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20751",20751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20752",20752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20753",20753,6,6862,1,0,2001,37,1,35,0,0,6590,1,1,600,917,0,5,1,143,857,5,10,5,55000,16000,2,175,7,2,180,4,2,1,1,4,8,2,1,1,4,8,1,16,16
"20754",20754,6,6831,23,1,2001,47,1,43,0,0,6590,1,1,602,339,0,5,1,0,0,0,14,10,35000,25000,3,230,0,3,260,7,2,9,9,0,99,2,1,9,0,99,1,99,99
"20755",20755,6,6832,23,0,2001,82,1,82,0,0,6591,1,4,0,0,0,0,1,0,0,0,35,0,0,0,5,140,0,4,108,0,2,3,5,0,8,2,3,5,0,8,1,4,8
"20756",20756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20757",20757,6,6041,23,1,2001,50,2,0,0,0,6591,4,1,901,839,40,5,3,0,0,0,0,6,14000,0,4,150,5,0,0,0,0,0,0,0,0,2,1,5,0,8,2,12,0
"20758",20758,6,5863,23,1,2001,50,1,50,1,1,6591,1,1,706,109,0,5,1,101,839,5,9,2,20000,18000,3,156,9,3,152,9,2,1,1,1,8,2,3,5,0,8,1,10,13
"20759",20759,6,7330,23,2,2001,49,1,0,0,0,6591,4,1,522,858,0,5,2,0,0,0,0,6,33000,0,3,194,2,0,0,0,0,0,0,0,0,2,1,1,2,8,3,14,0
"20760",20760,6,5903,23,0,2001,45,2,0,2,11,6591,2,1,933,798,0,5,3,0,0,0,0,8,26000,0,3,135,3,0,0,0,0,0,0,0,0,2,1,1,2,8,2,14,0
"20761",20761,6,6844,23,5,2001,43,1,47,2,8,6591,1,1,695,178,0,5,1,690,178,5,18,4,20000,15000,2,155,0,2,185,9,2,1,5,0,8,2,9,1,2,8,8,14,12
"20762",20762,6,6677,37,0,2001,42,1,35,2,5,6591,1,1,692,147,0,5,1,305,999,5,15,10,32000,9999998,1,195,6,2,195,4,2,1,1,2,8,2,1,1,2,8,1,14,14
"20763",20763,6,6743,15,0,2001,29,2,0,0,0,6591,1,1,312,707,40,5,3,0,0,0,0,18,36000,0,3,142,8,0,0,0,0,0,0,0,0,2,1,1,2,8,2,14,0
"20764",20764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20765",20765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20766",20766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20767",20767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20768",20768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20769",20769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20770",20770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20771",20771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20772",20772,6,5862,23,0,2001,41,2,0,1,13,6591,4,1,370,849,0,5,3,0,0,0,0,20,24000,0,3,170,9,0,0,0,0,0,0,0,0,2,1,1,3,8,2,15,0
