"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_edu","wf_edu","hd_change_in_marital_status"
"42",42,8,169,46,0,5,2003,26,1,37,0,0,1,1,405,868,35,5,1,0,0,5,20,10,10200,0,3,220,7,4,268,9,1,1,5,0,8,1,1,1,2,8,14,12,1
"43",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,8,784,12,3,6,2003,81,2,0,0,0,3,6,0,0,0,5,3,0,0,0,0,6,0,0,2,178,2,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,4
"51",51,8,1838,26,1,6,2003,48,1,47,0,0,1,1,325,748,70,5,1,0,0,5,15,3,75000,0,1,198,3,1,160,4,1,1,1,4,8,1,1,1,5,8,17,16,1
"52",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,8,1890,12,1,6,2003,58,1,54,0,0,1,1,624,77,45,5,1,450,897,5,6,3,0,20800,1,190,10,1,160,7,1,1,5,0,8,1,3,5,0,0,11,12,1
"58",58,8,1414,12,1,6,2003,29,1,30,1,1,1,1,80,827,40,5,1,313,819,5,10,2,35000,60000,1,170,11,1,130,6,1,9,1,4,0,1,9,1,3,0,99,99,1
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,8,5260,34,0,7,2003,77,2,0,0,0,3,5,0,0,0,5,3,0,0,0,0,0,0,0,5,187,9,0,0,0,0,0,0,0,0,1,3,5,0,8,7,0,2
"61",61,8,6234,34,0,7,2003,49,1,49,0,0,1,5,0,0,0,5,1,353,809,5,14,0,0,7792,5,285,4,3,145,3,1,1,5,0,8,1,1,5,0,8,12,12,1
"62",62,8,4853,34,1,7,2003,48,2,0,0,0,4,1,460,929,40,5,3,0,0,0,0,8,8000,0,4,170,1,0,0,0,0,0,0,0,0,1,3,5,0,8,9,0,2
"63",63,8,5218,34,2,7,2003,45,1,22,0,0,4,3,0,0,0,5,1,360,817,5,56,14,0,9999998,3,210,9,1,998,2,1,1,5,0,8,1,3,5,0,8,11,12,5
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,8,5115,34,1,7,2003,29,1,30,2,4,1,1,913,617,998,5,1,880,188,5,35,0,9999998,9999998,4,240,9,4,230,1,1,1,5,0,0,1,3,5,0,0,11,12,1
"66",66,8,6972,34,5,7,2003,28,1,0,0,0,5,1,913,77,0,5,2,0,0,0,0,0,12000,0,2,180,9,0,0,0,0,0,0,0,0,1,3,5,0,0,10,0,8
"67",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,8,6217,34,0,7,2003,27,1,24,0,0,1,1,726,469,50,5,1,460,929,5,56,10,23000,20,2,150,6,4,210,5,1,3,5,0,0,1,3,5,0,0,10,9,1
"69",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
