"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_employ_status","hd_occ","hd_ind","hd_hrs_work_per_week","hd_wtr_unemployed","wtr_wf","wf_occ","wf_ind","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"4173",4173,3,8291,3,0,1095,2013,48,1,45,2,15,1,2,1,485,419,0,5,1,582,759,5,10,10,52000,15000,2,165,10,2,112,4,1,1,1,0,8,1,1,1,5,1,17,12,1
"4174",4174,3,1601,45,0,1096,2013,81,1,82,0,0,1,0,4,0,0,0,5,1,0,0,5,15,0,0,0,3,165,3,5,125,0,1,3,5,0,8,1,3,5,0,8,99,8,1
"4175",4175,3,3073,45,0,1096,2013,58,2,0,0,0,5,3,5,0,0,0,5,3,0,0,0,0,12,0,0,4,220,6,0,0,0,0,0,0,0,0,1,2,1,2,8,14,0,2
"4176",4176,3,435,45,8,1096,2013,55,1,62,0,0,3,2,5,0,0,0,5,1,422,769,5,3,12,0,9999998,4,184,6,3,190,9,1,1,5,0,0,1,2,5,0,0,10,12,8
"4177",4177,3,750,45,0,1096,2013,54,2,0,0,0,4,1,5,422,769,0,5,3,0,0,0,0,20,7500,0,4,200,4,0,0,0,0,0,0,0,0,1,3,5,0,8,11,0,2
"4178",4178,3,4795,45,0,1096,2013,33,1,33,2,8,1,3,1,354,257,0,5,1,0,0,5,45,10,38000,0,2,170,11,3,130,2,1,1,5,0,8,1,1,1,2,8,14,12,1
"4179",4179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4180",4180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4181",4181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4182",4182,3,2015,45,0,1096,2013,35,2,0,4,11,4,2,1,422,939,0,5,3,0,0,0,0,30,18000,0,2,130,4,0,0,0,0,0,0,0,0,1,1,1,2,0,14,0,2
"4183",4183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4184",4184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4185",4185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4186",4186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4187",4187,3,736,45,0,1097,2013,61,1,61,0,0,1,1,1,770,349,0,5,1,500,787,5,10,3,54317,34022,3,210,11,3,178,0,1,1,1,1,8,1,1,1,2,0,14,13,1
"4188",4188,3,95,45,3,1097,2013,60,2,0,0,0,3,4,4,0,0,0,5,3,0,0,0,0,24,0,0,4,300,2,0,0,0,0,0,0,0,0,1,1,1,3,8,15,0,4
"4189",4189,3,622,3,0,1097,2013,33,1,30,2,4,1,1,1,981,968,0,5,1,460,847,1,28,14,48000,800,1,200,0,2,140,8,1,1,5,0,0,1,1,1,2,8,14,12,1
"4190",4190,3,370,45,0,1097,2013,38,1,36,2,7,1,2,1,22,77,0,5,1,202,837,5,24,15,38000,35000,2,145,9,2,140,6,1,1,5,0,99,1,1,1,2,8,14,12,1
"4191",4191,3,73,45,0,1097,2013,40,1,0,0,0,2,1,1,913,779,0,5,2,0,0,0,0,4,31145,0,4,260,8,0,0,0,0,0,0,0,0,1,1,5,0,0,12,0,2
"4192",4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4193",4193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4194",4194,3,6930,45,0,1098,2013,61,1,62,0,0,1,1,1,22,77,0,5,1,500,687,5,10,0,53000,9999998,3,210,0,1,135,8,1,1,1,2,8,1,1,1,2,8,14,14,1
"4195",4195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4196",4196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4197",4197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4198",4198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4199",4199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4200",4200,3,5451,45,0,1098,2013,37,1,37,2,12,1,3,1,135,229,0,5,1,146,349,5,10,8,90000,80000,2,300,4,4,150,8,1,1,1,4,8,1,1,1,4,8,16,16,1
"4201",4201,3,2515,45,4,1098,2013,42,1,43,1,16,1,2,1,560,617,0,5,1,231,786,5,8,3,38000,25500,1,220,4,2,170,2,1,1,1,4,8,1,1,1,1,8,13,16,5
"4202",4202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4203",4203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4204",4204,3,6425,45,0,1099,2013,52,2,0,0,0,4,3,1,814,357,56,5,3,0,0,0,0,10,16000,0,2,150,5,0,0,0,0,0,0,0,0,1,1,1,2,8,14,0,2
"4205",4205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4206",4206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4207",4207,3,7204,45,0,1099,2013,36,1,31,3,3,1,3,1,560,357,0,5,1,231,786,5,10,2,55000,37000,2,150,6,3,165,7,1,1,1,4,8,1,1,1,4,8,16,16,1
"4208",4208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4209",4209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4210",4210,3,343,45,0,1100,2013,67,2,0,0,0,3,3,4,0,0,0,5,3,0,0,0,0,8,0,0,2,240,2,0,0,0,0,0,0,0,0,1,2,1,1,8,13,0,2
"4211",4211,3,2977,45,1,1100,2013,46,2,0,1,16,4,1,1,512,727,0,5,3,0,0,0,0,4,32785,0,3,200,3,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2
"4212",4212,3,116,45,0,1100,2013,44,1,42,0,0,1,3,1,913,298,0,5,1,500,298,5,9,0,48000,53000,2,270,0,3,265,10,1,1,5,0,8,1,2,5,0,8,10,12,1
"4213",4213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4214",4214,3,2750,45,0,1100,2013,56,1,49,2,14,1,1,1,202,947,0,5,1,570,947,5,15,7,17000,32300,2,190,9,1,240,7,1,1,5,0,8,1,1,5,0,8,12,12,1
